,0
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,1
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,1
314,1
315,1
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,0
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,0
395,0
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,1
453,1
454,0
